 u_sabi                    SWAT+ Sep 8  2020    MODULAR Rev 2020.60.5                                     
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         flo_in ,         aqu_in ,        flo_out ,          peakr,         sed_in,        sed_out,         washld,          bedld,            dep,        deg_btm,       deg_bank,         hc_sed,          width,          depth,          slope,        deg_btm,       deg_bank,         hc_len,      flo_in_mm ,      aqu_in_mm ,     flo_out_mm 
      ,      ,      ,      ,        ,        ,                ,          m^3/s ,          m^3/s ,          m^3/s ,          m^3/s,           tons,           tons,           tons,           tons,           tons,           tons,           tons,           tons,              m,              m,            m/m,              m,              m,              m,             mm ,             mm ,             mm 
365,12,31,1999,1,1,cha01           ,1.55,.00,1.55,49.7,.171E+07,.188E+07,.855E+06,.00,71.5,.928E+06,.336E+05,.653E+05,80.5,2.90,.822E-02,.808E-01,.660E-01,.570,50.5,.00,50.5
365,12,31,1999,2,2,cha02           ,1.79,.00,1.79,57.3,.117E+07,.186E+07,.584E+06,.00,65.9,.117E+07,.306E+05,.743E+05,118.,3.04,.553E-02,.455E-01,.382E-01,.430,30.4,.00,30.4
365,12,31,1999,3,3,cha03           ,.485,.00,.485,15.5,.442E+06,.284E+06,.221E+06,.00,344.,.471E+05,.130E+04,.149E+05,76.8,2.08,.245E-02,.944E-02,.841E-02,.209,16.9,.00,16.9
365,12,31,1999,4,4,cha04           ,.444,.00,.444,14.2,.459E+06,.281E+06,.230E+06,.00,.157E+04,.400E+05,.124E+04,.105E+05,61.2,1.89,.404E-02,.178E-01,.154E-01,.198,22.6,.00,22.6
365,12,31,1999,5,5,cha05           ,7.83,.00,7.83,251.,.288E+07,.504E+07,.144E+07,.00,154.,.306E+07,.928E+05,.450E+06,170.,5.32,.647E-02,.157,.129,1.02,73.3,.00,73.3
365,12,31,1999,6,6,cha06           ,2.02,.00,2.02,64.7,.109E+07,.249E+07,.545E+06,.00,93.8,.181E+07,.454E+05,.896E+05,129.,3.23,.597E-02,.476E-01,.398E-01,.448,29.5,.00,29.5
365,12,31,1999,7,7,cha07           ,10.0,.00,10.0,320.,.403E+07,.353E+07,.202E+07,.00,726.,.977E+06,.211E+05,.520E+06,237.,4.92,.230E-02,.614E-01,.557E-01,.950,53.1,.00,53.1
365,12,31,1999,8,8,cha08           ,2.58,.00,2.58,82.6,.145E+05,.297E+06,.726E+04,.00,.959E-07,.215E+06,.983E+04,.642E+05,61.5,2.49,.273E-02,.722E-01,.669E-01,.833,132.,.00,132.
365,12,31,1999,9,9,cha09           ,28.3,.00,28.3,905.,.508E+07,.496E+07,.254E+07,.00,.120E+04,.808E+06,.166E+05,.160E+07,347.,7.21,.350E-02,.147,.125,1.48,80.0,.00,80.0
365,12,31,1999,10,10,cha10           ,24.5,.00,24.5,784.,.506E+07,.568E+07,.253E+07,.00,.135E+04,.101E+07,.200E+05,.212E+07,332.,6.34,.222E-02,.933E-01,.828E-01,2.15,74.3,.00,74.3
365,12,31,1999,11,11,cha11           ,12.6,.00,12.6,404.,.405E+07,.300E+07,.203E+07,.00,.115E+04,.282E+06,.603E+04,.689E+06,254.,4.91,.142E-02,.456E-01,.441E-01,1.20,59.9,.00,59.9
365,12,31,1999,12,12,cha12           ,11.8,.00,11.8,379.,.966E+06,.113E+08,.483E+06,.00,320.,.977E+07,.293E+06,.792E+06,178.,5.25,.446E-02,.155,.130,1.72,103.,.00,103.
365,12,31,1999,13,13,cha13           ,3.74,.00,3.74,120.,.201E+05,.999E+06,.100E+05,.00,.942E-07,.822E+06,.419E+05,.125E+06,68.1,3.36,.413E-02,.127,.109,1.10,163.,.00,163.
