 u_sabi                    SWAT+ Sep 8  2020    MODULAR Rev 2020.60.5                                     
  jday,   mon,   day,    yr,   unit , gis_id , name           ,         flo_in ,         aqu_in ,        flo_out ,          peakr,         sed_in,        sed_out,         washld,          bedld,            dep,        deg_btm,       deg_bank,         hc_sed,          width,          depth,          slope,        deg_btm,       deg_bank,         hc_len,      flo_in_mm ,      aqu_in_mm ,     flo_out_mm 
      ,      ,      ,      ,        ,        ,                ,          m^3/s ,          m^3/s ,          m^3/s ,          m^3/s,           tons,           tons,           tons,           tons,           tons,           tons,           tons,           tons,              m,              m,            m/m,              m,              m,              m,             mm ,             mm ,             mm 
31,1,31,1992,1,1,cha01           ,.435,.00,.435,13.9,.142E+05,.417E+05,.709E+04,.00,.894E-08,.337E+05,860.,.00,79.8,2.05,.824E-02,.349E-01,.310E-01,.00,1.20,.00,1.20
31,1,31,1992,2,2,cha02           ,.231E-01,.00,.231E-01,.740,707.,460.,353.,.00,247.,43.9,62.2,.00,118.,2.66,.554E-02,.201E-04,.113E-02,.00,.334E-01,.00,.334E-01
31,1,31,1992,3,3,cha03           ,.783E-01,.00,.783E-01,2.51,.391E+04,.268E+04,.195E+04,.00,.132E-07,695.,32.2,.00,76.7,2.00,.246E-02,.164E-02,.261E-02,.00,.232,.00,.232
31,1,31,1992,4,4,cha04           ,.806,.00,.806,25.8,.271E+05,.242E+05,.135E+05,.00,.124E-07,.104E+05,274.,.00,61.1,1.72,.406E-02,.544E-01,.454E-01,.00,3.49,.00,3.49
31,1,31,1992,5,5,cha05           ,.576,.00,.576,18.4,.149E+05,.382E+05,.744E+04,.00,.234E-07,.300E+05,762.,.00,168.,3.37,.653E-02,.183E-01,.208E-01,.00,.459,.00,.459
31,1,31,1992,6,6,cha06           ,2.27,.00,2.27,72.6,.103E+06,.302E+06,.513E+05,.00,.783E-08,.245E+06,.522E+04,.00,129.,2.81,.598E-02,.760E-01,.665E-01,.00,2.82,.00,2.82
31,1,31,1992,7,7,cha07           ,3.16,.00,3.16,101.,.133E+06,.943E+05,.663E+05,.00,.418E-07,.274E+05,559.,.00,237.,4.21,.234E-02,.203E-01,.208E-01,.00,1.43,.00,1.43
31,1,31,1992,8,8,cha08           ,.102,.00,.102,3.26,.234E-07,116.,.117E-07,.00,.907E-08,86.6,29.6,.00,60.8,1.70,.279E-02,.347E-03,.379E-02,.00,.444,.00,.444
31,1,31,1992,9,9,cha09           ,4.64,.00,4.64,149.,.171E+06,.103E+06,.854E+05,.00,.105E-06,.169E+05,297.,.00,345.,5.42,.392E-02,.363E-01,.364E-01,.00,1.12,.00,1.12
