 u_sabi                   
  SWAT+ Jun 28 2019    MODULAR Rev 2019.59.3                                    
  
                                                                                --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2016       1    agrl                      483.962     217.783       9.631       1.549
   366    12    31  2016       2    agrl                      507.745     228.485      10.104       1.625
   366    12    31  2016       3    shrb                        0.000       0.000       0.000       0.000
   366    12    31  2016       4    gras                        0.000       0.000       0.000       0.000
   366    12    31  2016       5    frst                        0.000       0.000       0.000       0.000
   366    12    31  2016       6    frst                        0.000       0.000       0.000       0.000
   366    12    31  2016       7    shrb                        0.000       0.000       0.000       0.000
   366    12    31  2016       8    frst                        0.000       0.000       0.000       0.000
   366    12    31  2016       9    frst                        0.000       0.000       0.000       0.000
   366    12    31  2016      10    agrl                      507.193     228.237      10.093       1.623
   366    12    31  2016      11    agrl                      402.523     181.135       8.010       1.288
   366    12    31  2016      12    agrl                      550.042     247.519      10.946       1.760
   366    12    31  2016      13    frst                        0.000       0.000       0.000       0.000
