Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
31,1,1992,1,1,hru01           ,.186E+04,.00,.620E+05,.116E+09
31,1,1992,2,2,hru02           ,.215E+04,.486E+06,.559E+07,.171E+09
31,1,1992,3,3,hru03           ,968.,.827E+05,.108E+07,.710E+08
31,1,1992,4,4,hru04           ,905.,.108E+04,.209E+06,.655E+08
31,1,1992,5,5,hru05           ,.209E+04,.831E+06,63.7,.101E+09
31,1,1992,6,6,hru06           ,536.,.315E+06,16.6,.219E+08
31,1,1992,7,7,hru07           ,619.,.333E+05,.213E+07,.590E+08
31,1,1992,8,8,hru08           ,615.,.273E+06,18.7,.297E+08
31,1,1992,9,9,hru09           ,719.,.159E+06,21.8,.569E+08
31,1,1992,10,10,hru10           ,414.,.222E+06,.618E+06,.329E+08
31,1,1992,11,11,hru11           ,79.8,680.,.114E+06,.639E+07
31,1,1992,12,12,hru12           ,132.,.743E+04,.209E+06,.105E+08
31,1,1992,13,13,hru13           ,35.1,.846E+04,1.08,.221E+07
29,2,1992,1,1,hru01           ,.186E+04,.00,53.8,.515E+08
29,2,1992,2,2,hru02           ,.215E+04,.273E+05,62.4,.102E+09
29,2,1992,3,3,hru03           ,968.,.372E+04,.100E+05,.339E+08
29,2,1992,4,4,hru04           ,905.,66.9,26.2,.262E+08
29,2,1992,5,5,hru05           ,.209E+04,.442E+05,59.6,.188E+09
29,2,1992,6,6,hru06           ,536.,.914E+05,15.5,.359E+08
29,2,1992,7,7,hru07           ,619.,.170E+04,.402E+05,.324E+08
29,2,1992,8,8,hru08           ,615.,.145E+05,17.5,.552E+08
29,2,1992,9,9,hru09           ,719.,.713E+04,20.4,.205E+08
29,2,1992,10,10,hru10           ,414.,.132E+05,12.0,.993E+07
29,2,1992,11,11,hru11           ,79.8,44.0,2.23,.192E+07
29,2,1992,12,12,hru12           ,132.,395.,3.80,.328E+07
29,2,1992,13,13,hru13           ,35.1,549.,1.01,.762E+06
31,3,1992,1,1,hru01           ,.186E+04,.111E+06,.796E+07,.184E+09
31,3,1992,2,2,hru02           ,.215E+04,.113E+06,.625E+06,.192E+09
31,3,1992,3,3,hru03           ,968.,.258E+05,.270E+07,.714E+08
31,3,1992,4,4,hru04           ,905.,.280E+05,.121E+07,.473E+08
31,3,1992,5,5,hru05           ,.209E+04,.566E+06,63.7,.100E+09
31,3,1992,6,6,hru06           ,536.,.232E+06,16.6,.131E+08
31,3,1992,7,7,hru07           ,619.,.120E+05,.160E+07,.343E+08
31,3,1992,8,8,hru08           ,615.,.186E+06,18.7,.294E+08
31,3,1992,9,9,hru09           ,719.,.00,21.8,.460E+08
31,3,1992,10,10,hru10           ,414.,.207E+06,.852E+06,.145E+08
31,3,1992,11,11,hru11           ,79.8,650.,.155E+06,.280E+07
31,3,1992,12,12,hru12           ,132.,.684E+04,.296E+06,.463E+07
31,3,1992,13,13,hru13           ,35.1,.00,1.08,.176E+07
30,4,1992,1,1,hru01           ,.186E+04,.155E+05,.405E+07,.500E+08
30,4,1992,2,2,hru02           ,.215E+04,.159E+05,.228E+07,.413E+08
30,4,1992,3,3,hru03           ,968.,.115E+04,29.0,.210E+08
30,4,1992,4,4,hru04           ,905.,.392E+04,27.1,.415E+08
30,4,1992,5,5,hru05           ,.209E+04,.726E+05,61.6,.128E+09
30,4,1992,6,6,hru06           ,536.,.325E+05,16.0,.287E+08
30,4,1992,7,7,hru07           ,619.,.167E+04,18.6,.252E+08
30,4,1992,8,8,hru08           ,615.,.239E+05,18.1,.376E+08
