Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
31,12,1992,1,1,hru01           ,.186E+04,.126E+06,.121E+08,.898E+09
31,12,1992,2,2,hru02           ,.215E+04,.145E+07,.103E+08,.119E+10
31,12,1992,3,3,hru03           ,968.,.380E+06,.393E+07,.480E+09
31,12,1992,4,4,hru04           ,905.,.139E+06,.704E+07,.445E+09
31,12,1992,5,5,hru05           ,.209E+04,.356E+07,752.,.103E+10
31,12,1992,6,6,hru06           ,536.,.272E+07,196.,.201E+09
31,12,1992,7,7,hru07           ,619.,.137E+06,.625E+07,.314E+09
31,12,1992,8,8,hru08           ,615.,.117E+07,221.,.303E+09
31,12,1992,9,9,hru09           ,719.,.483E+06,257.,.346E+09
31,12,1992,10,10,hru10           ,414.,.131E+07,.181E+07,.174E+09
31,12,1992,11,11,hru11           ,79.8,.670E+04,.309E+06,.336E+08
31,12,1992,12,12,hru12           ,132.,.347E+05,.723E+06,.557E+08
31,12,1992,13,13,hru13           ,35.1,.117E+06,12.8,.151E+08
31,12,1993,1,1,hru01           ,5.40,.418E+04,.664E+05,.411E+07
31,12,1993,2,2,hru02           ,3.43,.338E+04,.500E+05,.266E+07
31,12,1993,3,3,hru03           ,968.,.132E+07,.127E+08,.810E+09
31,12,1993,4,4,hru04           ,905.,.176E+06,.545E+07,.698E+09
31,12,1993,5,5,hru05           ,.209E+04,.139E+09,.494E+08,.130E+10
31,12,1993,6,6,hru06           ,536.,.673E+08,.381E+06,.292E+09
31,12,1993,7,7,hru07           ,619.,.182E+06,.650E+07,.487E+09
31,12,1993,8,8,hru08           ,615.,.443E+08,.136E+08,.380E+09
31,12,1993,9,9,hru09           ,.143E+04,.894E+08,.309E+08,.886E+09
31,12,1993,10,10,hru10           ,3.58,.108E+05,.160E+05,.261E+07
31,12,1993,11,11,hru11           ,9.78,884.,.344E+05,.720E+07
31,12,1993,12,12,hru12           ,2.12,.168E+04,.152E+05,.155E+07
31,12,1993,13,13,hru13           ,.394E+04,.555E+08,.892E+04,.289E+10
31,12,1994,1,1,hru01           ,5.40,.233E+04,.132E+05,.262E+07
31,12,1994,2,2,hru02           ,3.43,855.,.633E+04,.154E+07
31,12,1994,3,3,hru03           ,968.,.525E+06,.979E+06,.510E+09
31,12,1994,4,4,hru04           ,905.,.136E+06,.335E+07,.420E+09
31,12,1994,5,5,hru05           ,.209E+04,.366E+08,750.,.106E+10
31,12,1994,6,6,hru06           ,536.,.279E+08,195.,.237E+09
31,12,1994,7,7,hru07           ,619.,.966E+05,.924E+06,.286E+09
31,12,1994,8,8,hru08           ,615.,.118E+08,220.,.311E+09
31,12,1994,9,9,hru09           ,.143E+04,.645E+08,.193E+08,.688E+09
31,12,1994,10,10,hru10           ,3.58,.659E+04,.185E+04,.139E+07
31,12,1994,11,11,hru11           ,9.78,479.,.325E+04,.380E+07
