Jday,Day,Month,Year,HRUID,GIS_ID,HRU,Area(km2),lateral_flow(m3),surface_runoff(m3),ET(m3)
1,1,1,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
1,1,1,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
1,1,1,1992,3,3,hru03           ,968.,.00,.968,.00
1,1,1,1992,4,4,hru04           ,905.,.00,.905,.00
1,1,1,1992,5,5,hru05           ,.209E+04,.00,2.05,.595E+07
1,1,1,1992,6,6,hru06           ,536.,.00,.535,.131E+07
1,1,1,1992,7,7,hru07           ,619.,.00,.619,.413E+07
1,1,1,1992,8,8,hru08           ,615.,.00,.603,.175E+07
1,1,1,1992,9,9,hru09           ,719.,.00,.703,2.19
1,1,1,1992,10,10,hru10           ,414.,.00,.414,.00
1,1,1,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
1,1,1,1992,12,12,hru12           ,132.,.00,.131,.00
1,1,1,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
2,1,2,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
2,1,2,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
2,1,2,1992,3,3,hru03           ,968.,.00,.968,.00
2,1,2,1992,4,4,hru04           ,905.,.00,.905,.00
2,1,2,1992,5,5,hru05           ,.209E+04,.00,2.05,.621E+07
2,1,2,1992,6,6,hru06           ,536.,.00,.535,.130E+07
2,1,2,1992,7,7,hru07           ,619.,.00,.619,.416E+07
2,1,2,1992,8,8,hru08           ,615.,.00,.603,.182E+07
2,1,2,1992,9,9,hru09           ,719.,.00,.703,2.19
2,1,2,1992,10,10,hru10           ,414.,.00,.414,.00
2,1,2,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
2,1,2,1992,12,12,hru12           ,132.,.00,.131,.00
2,1,2,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
3,1,3,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
3,1,3,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
3,1,3,1992,3,3,hru03           ,968.,.00,.968,.00
3,1,3,1992,4,4,hru04           ,905.,.00,.905,.00
3,1,3,1992,5,5,hru05           ,.209E+04,.00,2.05,.600E+07
3,1,3,1992,6,6,hru06           ,536.,.00,.535,.103E+07
3,1,3,1992,7,7,hru07           ,619.,.00,.619,.00
3,1,3,1992,8,8,hru08           ,615.,.00,.603,.176E+07
3,1,3,1992,9,9,hru09           ,719.,.00,.703,2.19
3,1,3,1992,10,10,hru10           ,414.,.00,.414,.00
3,1,3,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
3,1,3,1992,12,12,hru12           ,132.,.00,.131,.00
3,1,3,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
4,1,4,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
4,1,4,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
4,1,4,1992,3,3,hru03           ,968.,.00,.968,.00
4,1,4,1992,4,4,hru04           ,905.,.00,.905,.00
4,1,4,1992,5,5,hru05           ,.209E+04,.00,2.05,.108E+05
4,1,4,1992,6,6,hru06           ,536.,.00,.535,1.63
4,1,4,1992,7,7,hru07           ,619.,.00,.619,.00
4,1,4,1992,8,8,hru08           ,615.,.00,.603,.217E+05
4,1,4,1992,9,9,hru09           ,719.,.00,.703,2.19
4,1,4,1992,10,10,hru10           ,414.,.00,.414,.00
4,1,4,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
4,1,4,1992,12,12,hru12           ,132.,.00,.131,.00
4,1,4,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
5,1,5,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
5,1,5,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
5,1,5,1992,3,3,hru03           ,968.,.00,.968,.00
5,1,5,1992,4,4,hru04           ,905.,.00,.905,.00
5,1,5,1992,5,5,hru05           ,.209E+04,.00,2.05,6.37
5,1,5,1992,6,6,hru06           ,536.,.00,.535,1.63
5,1,5,1992,7,7,hru07           ,619.,.00,.619,.00
5,1,5,1992,8,8,hru08           ,615.,.00,.603,1.87
5,1,5,1992,9,9,hru09           ,719.,.00,.703,2.19
5,1,5,1992,10,10,hru10           ,414.,.00,.414,.00
5,1,5,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
5,1,5,1992,12,12,hru12           ,132.,.00,.131,.00
5,1,5,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
6,1,6,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
6,1,6,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
6,1,6,1992,3,3,hru03           ,968.,.00,.968,.00
6,1,6,1992,4,4,hru04           ,905.,.00,.905,.00
6,1,6,1992,5,5,hru05           ,.209E+04,.00,2.05,6.37
6,1,6,1992,6,6,hru06           ,536.,.00,.535,1.63
6,1,6,1992,7,7,hru07           ,619.,.00,.619,.00
6,1,6,1992,8,8,hru08           ,615.,.00,.603,1.87
6,1,6,1992,9,9,hru09           ,719.,.00,.703,2.19
6,1,6,1992,10,10,hru10           ,414.,.00,.414,.00
6,1,6,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
6,1,6,1992,12,12,hru12           ,132.,.00,.131,.00
6,1,6,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
7,1,7,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
7,1,7,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
7,1,7,1992,3,3,hru03           ,968.,.00,.968,.00
7,1,7,1992,4,4,hru04           ,905.,.00,.905,.00
7,1,7,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
7,1,7,1992,6,6,hru06           ,536.,.00,.535,1.53
7,1,7,1992,7,7,hru07           ,619.,.00,.619,.00
7,1,7,1992,8,8,hru08           ,615.,.00,.603,1.76
7,1,7,1992,9,9,hru09           ,719.,.00,.703,2.19
7,1,7,1992,10,10,hru10           ,414.,.00,.414,.00
7,1,7,1992,11,11,hru11           ,79.8,.00,.769E-01,.00
7,1,7,1992,12,12,hru12           ,132.,.00,.131,.00
7,1,7,1992,13,13,hru13           ,35.1,.00,.349E-01,.107
8,1,8,1992,1,1,hru01           ,.186E+04,.00,1.85,.00
8,1,8,1992,2,2,hru02           ,.215E+04,.00,2.15,.00
8,1,8,1992,3,3,hru03           ,968.,.00,.968,.00
8,1,8,1992,4,4,hru04           ,905.,.00,.905,.00
8,1,8,1992,5,5,hru05           ,.209E+04,.00,2.05,5.99
